질병명,진료과,증상,관련질환,동의어,부위,인덱싱문장
조갑주위염(Paronychia),피부과,"손,발톱이 두꺼워짐,압통,발적,손,발톱이 갈라짐,고름","조갑백선,조갑 이영양증,내향성 손발톱,곰팡이 감염",생인손,발,"조갑주위염(Paronychia)은(는) 피부과에서 주로 진료하며, 증상은 손,발톱이 두꺼워짐,압통,발적,손,발톱이 갈라짐,고름이(가) 있다. 관련된 질환으로는 조갑백선,조갑 이영양증,내향성 손발톱,곰팡이 감염이(가) 있으며, 같은 이름으로는 생인손과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
족저 근막염(Plantar Fasciitis),정형외과,"압통,발의 통증","신경종,아킬레스 건염,아킬레스 건 파열","발뒤꿈치 통증 증후군,발바닥 건염,발바닥 근막염,족저 건염",발,"족저 근막염(Plantar Fasciitis)은(는) 정형외과에서 주로 진료하며, 증상은 압통,발의 통증이(가) 있다. 관련된 질환으로는 신경종,아킬레스 건염,아킬레스 건 파열이(가) 있으며, 같은 이름으로는 발뒤꿈치 통증 증후군,발바닥 건염,발바닥 근막염,족저 건염과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
지간 신경종(Interdigital neuroma),정형외과,"발의 통증,무감각,저림","결절종,무지외반증,지방종","모르톤족지,발가락 신경종",발,"지간 신경종(Interdigital neuroma)은(는) 정형외과에서 주로 진료하며, 증상은 발의 통증,무감각,저림이(가) 있다. 관련된 질환으로는 결절종,무지외반증,지방종이(가) 있으며, 같은 이름으로는 모르톤족지,발가락 신경종과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
지체장애(Physical disability),"신경외과,신경과,재활의학과,정형외과",질병명과 같은 증상,"척수구근 근위축증,연골무형성증,외상에 의한 척수 손상,선천성 기형,근위축성 측색 경화증,뇌성 마비,척추측만증,중증 근무력증,강직성 척추염,완전 척수 손상","Orthopedic Impairment,지체부자유",발,"지체장애(Physical disability)은(는) 신경외과,신경과,재활의학과,정형외과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 척수구근 근위축증,연골무형성증,외상에 의한 척수 손상,선천성 기형,근위축성 측색 경화증,뇌성 마비,척추측만증,중증 근무력증,강직성 척추염,완전 척수 손상이(가) 있으며, 같은 이름으로는 Orthopedic Impairment,지체부자유과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
통풍(Gout),류마티스내과,"환부 부종,오한,열,발의 통증,무릎 부위 통증","통풍성 관절염,관절염",동의어가 없다',발,"통풍(Gout)은(는) 류마티스내과에서 주로 진료하며, 증상은 환부 부종,오한,열,발의 통증,무릎 부위 통증이(가) 있다. 관련된 질환으로는 통풍성 관절염,관절염이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
통풍성 관절염(gouty arthritis),류마티스내과,"환부 통증,운동장애,관절통,관절염",통풍,"과요산성 관절염,urarthritis",발,"통풍성 관절염(gouty arthritis)은(는) 류마티스내과에서 주로 진료하며, 증상은 환부 통증,운동장애,관절통,관절염이(가) 있다. 관련된 질환으로는 통풍이(가) 있으며, 같은 이름으로는 과요산성 관절염,urarthritis과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
티눈 및 굳은살(Corns and callosities),피부과,"각질이 딱딱해짐,피부 각질",조갑백선,동의어가 없다',발,"티눈 및 굳은살(Corns and callosities)은(는) 피부과에서 주로 진료하며, 증상은 각질이 딱딱해짐,피부 각질이(가) 있다. 관련된 질환으로는 조갑백선이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
한포진(Acute vesiculobullous hand eczema),피부과,질병명과 같은 증상,"습진,천포창,무좀,수부 습진",급성 수포성 수부 습진,발,"한포진(Acute vesiculobullous hand eczema)은(는) 피부과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 습진,천포창,무좀,수부 습진이(가) 있으며, 같은 이름으로는 급성 수포성 수부 습진과(와) 같은 명칭이 존재하고, 발과(와) 관련 있는 질환이다."
간 전이(Liver Metastasis),"간담도췌외과,종양내과,간이식ㆍ간담도외과,방사선종양학과","식욕부진,체중감소,복부 통증,황달","악성 흑색종,식도암,위암,폐암,유방암,췌장암,대장암",metastatic tumors of the liver,배,"간 전이(Liver Metastasis)은(는) 간담도췌외과,종양내과,간이식ㆍ간담도외과,방사선종양학과에서 주로 진료하며, 증상은 식욕부진,체중감소,복부 통증,황달이(가) 있다. 관련된 질환으로는 악성 흑색종,식도암,위암,폐암,유방암,췌장암,대장암이(가) 있으며, 같은 이름으로는 metastatic tumors of the liver과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간 혈관종(Hepatic hemangioma),"소화기내과,성형외과","오심,포만감,무증상,복부 불편감",간의 양성 신생물,"hepatichemangioma,간해면상혈관종,간혈관종,해면상간혈관종",배,"간 혈관종(Hepatic hemangioma)은(는) 소화기내과,성형외과에서 주로 진료하며, 증상은 오심,포만감,무증상,복부 불편감이(가) 있다. 관련된 질환으로는 간의 양성 신생물이(가) 있으며, 같은 이름으로는 hepatichemangioma,간해면상혈관종,간혈관종,해면상간혈관종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간경화(Liver cirrhosis),"간이식ㆍ간담도외과,소화기내과","식욕부진,복수,황달,피로감,체중감소,복부 불편감,피부 긴장도 저하,오심","간세포성 암종,원발성 담즙성 경화증,간성 뇌증,간염,만성 C형 간염,만성 B형 간염,자가면역성 간염","간경변,간경변병,간경변증,간경화병,간경화증,간섬유병,간섬유증,간섬유화병,간섬유화증,간의경변",배,"간경화(Liver cirrhosis)은(는) 간이식ㆍ간담도외과,소화기내과에서 주로 진료하며, 증상은 식욕부진,복수,황달,피로감,체중감소,복부 불편감,피부 긴장도 저하,오심이(가) 있다. 관련된 질환으로는 간세포성 암종,원발성 담즙성 경화증,간성 뇌증,간염,만성 C형 간염,만성 B형 간염,자가면역성 간염이(가) 있으며, 같은 이름으로는 간경변,간경변병,간경변증,간경화병,간경화증,간섬유병,간섬유증,간섬유화병,간섬유화증,간의경변과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간내 담석(IHD stone),"소화기내과,간이식ㆍ간담도외과,간담도췌외과","황달,열,소화불량,악취가 나는 설사,복부 통증","간세포성 암종,담관암,담석","간내 결석,간내결석증,간내담석증,간석증",배,"간내 담석(IHD stone)은(는) 소화기내과,간이식ㆍ간담도외과,간담도췌외과에서 주로 진료하며, 증상은 황달,열,소화불량,악취가 나는 설사,복부 통증이(가) 있다. 관련된 질환으로는 간세포성 암종,담관암,담석이(가) 있으며, 같은 이름으로는 간내 결석,간내결석증,간내담석증,간석증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간농양(Liver abscess),"간담도췌외과,감염내과,간이식ㆍ간담도외과,소화기내과","압통,황달,간비대,구토,복부 통증,오한,오심,열,기운없음,설사",아메바성 간농양,간의 고름집,배,"간농양(Liver abscess)은(는) 간담도췌외과,감염내과,간이식ㆍ간담도외과,소화기내과에서 주로 진료하며, 증상은 압통,황달,간비대,구토,복부 통증,오한,오심,열,기운없음,설사이(가) 있다. 관련된 질환으로는 아메바성 간농양이(가) 있으며, 같은 이름으로는 간의 고름집과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간디스토마(Clonorchisis sinensis),소화기내과,"간비대,황달,담도감염,무증상,복부 통증,소화불량,설사",간농양,간흡충증,배,"간디스토마(Clonorchisis sinensis)은(는) 소화기내과에서 주로 진료하며, 증상은 간비대,황달,담도감염,무증상,복부 통증,소화불량,설사이(가) 있다. 관련된 질환으로는 간농양이(가) 있으며, 같은 이름으로는 간흡충증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간문부 담관암(Klatskin's tumor),"간이식ㆍ간담도외과,소화기내과,종양내과,방사선종양학과,간담도췌외과","회색변,체중감소,빈혈,식욕부진,황달,진한 소변색,열,피부소양감","간디스토마,경화성 담관염,궤양성 대장염,총담관 담석,총담관 낭,담석","간문부암,근위부 담관암,상부 담관암,클라츠킨 종양,Klatskin's tumor",배,"간문부 담관암(Klatskin's tumor)은(는) 간이식ㆍ간담도외과,소화기내과,종양내과,방사선종양학과,간담도췌외과에서 주로 진료하며, 증상은 회색변,체중감소,빈혈,식욕부진,황달,진한 소변색,열,피부소양감이(가) 있다. 관련된 질환으로는 간디스토마,경화성 담관염,궤양성 대장염,총담관 담석,총담관 낭,담석이(가) 있으며, 같은 이름으로는 간문부암,근위부 담관암,상부 담관암,클라츠킨 종양,Klatskin's tumor과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간성 뇌증(Hepatic encephalopathy),소화기내과,"불면증,인지장애,혼돈,혼수,자세 불안정,감정 변화","복막염,간염,알코올성 간질환,간경화,식도 정맥류","hepatic coma,간성뇌증,간성혼수,간성혼수증",배,"간성 뇌증(Hepatic encephalopathy)은(는) 소화기내과에서 주로 진료하며, 증상은 불면증,인지장애,혼돈,혼수,자세 불안정,감정 변화이(가) 있다. 관련된 질환으로는 복막염,간염,알코올성 간질환,간경화,식도 정맥류이(가) 있으며, 같은 이름으로는 hepatic coma,간성뇌증,간성혼수,간성혼수증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간세포성 암종(Hepatocellular carcinoma),"방사선종양학과,간담도췌외과,종양내과,소화기내과,간이식ㆍ간담도외과","체중감소,복부 통증,무증상,황달,덩어리가 만져짐","만성 B형 간염,간염,간농양,간 전이","liver cancer,간세포암,간세포암종,간암",배,"간세포성 암종(Hepatocellular carcinoma)은(는) 방사선종양학과,간담도췌외과,종양내과,소화기내과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 체중감소,복부 통증,무증상,황달,덩어리가 만져짐이(가) 있다. 관련된 질환으로는 만성 B형 간염,간염,간농양,간 전이이(가) 있으며, 같은 이름으로는 liver cancer,간세포암,간세포암종,간암과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간신 증후군(Hepatorenal syndrome),소화기내과,"진한 소변색,전신 부종,황달,소변량 감소,피부소양감,혼돈","신증후군,간경화",동의어가 없다',배,"간신 증후군(Hepatorenal syndrome)은(는) 소화기내과에서 주로 진료하며, 증상은 진한 소변색,전신 부종,황달,소변량 감소,피부소양감,혼돈이(가) 있다. 관련된 질환으로는 신증후군,간경화이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간염(Hepatitis),소화기내과,"관절통,황달,기운없음,열,오심,간성뇌증,피로감,근육통,식욕부진,진한 소변색,복부 불편감,구토,복수,간부전,두통,피부소양감","간경화,전격성 간염,급성 A형 간염,급성 바이러스성 간염,자가면역성 간염,만성 B형 간염,만성 C형 간염,지방간,독성 간염,간성 뇌증,급성 B형 간염,급성 C형 간염,복수","간세포 염증,간염증",배,"간염(Hepatitis)은(는) 소화기내과에서 주로 진료하며, 증상은 관절통,황달,기운없음,열,오심,간성뇌증,피로감,근육통,식욕부진,진한 소변색,복부 불편감,구토,복수,간부전,두통,피부소양감이(가) 있다. 관련된 질환으로는 간경화,전격성 간염,급성 A형 간염,급성 바이러스성 간염,자가면역성 간염,만성 B형 간염,만성 C형 간염,지방간,독성 간염,간성 뇌증,급성 B형 간염,급성 C형 간염,복수이(가) 있으며, 같은 이름으로는 간세포 염증,간염증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간의 양성 신생물(Benign neoplasm of the liver),"소화기내과,간담도췌외과,간이식ㆍ간담도외과","복부 압박 증상,구토,복부팽만감,오심,복부 통증,무증상","간농양,간 혈관종","간의 양성 종양,간종양",배,"간의 양성 신생물(Benign neoplasm of the liver)은(는) 소화기내과,간담도췌외과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 복부 압박 증상,구토,복부팽만감,오심,복부 통증,무증상이(가) 있다. 관련된 질환으로는 간농양,간 혈관종이(가) 있으며, 같은 이름으로는 간의 양성 종양,간종양과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
간이식 후 상태(Liver Transplantation status),"소화기내과,간이식ㆍ간담도외과",복부 통증,"윌슨병,선천성 담관 폐쇄증,신생아 답즙정체증,간경화,간세포성 암종",동의어가 없다',배,"간이식 후 상태(Liver Transplantation status)은(는) 소화기내과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 복부 통증이(가) 있다. 관련된 질환으로는 윌슨병,선천성 담관 폐쇄증,신생아 답즙정체증,간경화,간세포성 암종이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
갈색세포종(Pheochromocytoma),내분비내과,"가슴 두근거림,발한,어지러움,고혈압",고혈압,크롬친화세포종,배,"갈색세포종(Pheochromocytoma)은(는) 내분비내과에서 주로 진료하며, 증상은 가슴 두근거림,발한,어지러움,고혈압이(가) 있다. 관련된 질환으로는 고혈압이(가) 있으며, 같은 이름으로는 크롬친화세포종과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
게실 질환(Diverticular disease),"대장항문외과,소화기내과","열,배변습관의 변화,변비,복부팽만감,위장관 출혈,오한,복부 통증",메켈 게실,"게실병,게실염,게실증,대장 게실",배,"게실 질환(Diverticular disease)은(는) 대장항문외과,소화기내과에서 주로 진료하며, 증상은 열,배변습관의 변화,변비,복부팽만감,위장관 출혈,오한,복부 통증이(가) 있다. 관련된 질환으로는 메켈 게실이(가) 있으며, 같은 이름으로는 게실병,게실염,게실증,대장 게실과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
결핵성 복막염(Tuberculous peritonitis),감염내과,"열,빈맥,빈호흡,발한,복부팽만감,복수,압통,식욕부진,권태감,체중감소,오심,복부 통증","결핵성 임파선염,위장관 결핵,결핵성 골수염,속립성 결핵,결핵성 수막염,복막염,결핵,폐결핵",동의어가 없다',배,"결핵성 복막염(Tuberculous peritonitis)은(는) 감염내과에서 주로 진료하며, 증상은 열,빈맥,빈호흡,발한,복부팽만감,복수,압통,식욕부진,권태감,체중감소,오심,복부 통증이(가) 있다. 관련된 질환으로는 결핵성 임파선염,위장관 결핵,결핵성 골수염,속립성 결핵,결핵성 수막염,복막염,결핵,폐결핵이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
경화성 담관염(Sclerosing cholangitis),소화기내과,"식욕부진,체중감소,복부 통증,황달,피부소양감","담관암,대장암,간경화,간내 담석,궤양성 대장염,췌장염","경화성 담도염,원발경화성담관염",배,"경화성 담관염(Sclerosing cholangitis)은(는) 소화기내과에서 주로 진료하며, 증상은 식욕부진,체중감소,복부 통증,황달,피부소양감이(가) 있다. 관련된 질환으로는 담관암,대장암,간경화,간내 담석,궤양성 대장염,췌장염이(가) 있으며, 같은 이름으로는 경화성 담도염,원발경화성담관염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
골반 염증성 질환(Pelvic inflammatory disease),산부인과,"열,복부 통증,악취,비정상적 질 분비물,골반 통증","임질,여성 불임,난소, 난관 이상","PID,골반내염증,골반내염증질환,골반염",배,"골반 염증성 질환(Pelvic inflammatory disease)은(는) 산부인과에서 주로 진료하며, 증상은 열,복부 통증,악취,비정상적 질 분비물,골반 통증이(가) 있다. 관련된 질환으로는 임질,여성 불임,난소, 난관 이상이(가) 있으며, 같은 이름으로는 PID,골반내염증,골반내염증질환,골반염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
과립막 세포종(Granulosa cell tumor),산부인과,"복부 통증,무월경,생식기 출혈,성조숙증,복수,비정상적 질출혈,덩어리가 만져짐","난소의 양성 종양,난소암,난소, 난관 이상,생식선 및 생식 세포의 신생물",동의어가 없다',배,"과립막 세포종(Granulosa cell tumor)은(는) 산부인과에서 주로 진료하며, 증상은 복부 통증,무월경,생식기 출혈,성조숙증,복수,비정상적 질출혈,덩어리가 만져짐이(가) 있다. 관련된 질환으로는 난소의 양성 종양,난소암,난소, 난관 이상,생식선 및 생식 세포의 신생물이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
구토(Vomiting),소화기내과,질병명과 같은 증상,담관암,동의어가 없다',배,"구토(Vomiting)은(는) 소화기내과에서 주로 진료하며, 증상은 질병명과 같은 증상이(가) 있다. 관련된 질환으로는 담관암이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
궤양성 대장염(Ulcerative colitis),소화기내과,"체중감소,설사,탈수,열,빈혈,혈변,변비,복부 통증,점액변","강직성 척추염,크론병,대장 용종,장출혈성 대장균 감염증,관절염,위막성 대장염,대장염,자극성 장 증후군,대장균 감염","궤양대장염,염증성 장 질환,큰 창자염",배,"궤양성 대장염(Ulcerative colitis)은(는) 소화기내과에서 주로 진료하며, 증상은 체중감소,설사,탈수,열,빈혈,혈변,변비,복부 통증,점액변이(가) 있다. 관련된 질환으로는 강직성 척추염,크론병,대장 용종,장출혈성 대장균 감염증,관절염,위막성 대장염,대장염,자극성 장 증후군,대장균 감염이(가) 있으며, 같은 이름으로는 궤양대장염,염증성 장 질환,큰 창자염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 A형 간염(Acute hepatitis A),소화기내과,"열,식욕부진,황달,권태감,설사,진한 소변색,감기 증상,복부 통증,오심,구토","급성 바이러스성 간염,급성 B형 간염,급성 C형 간염",a형간염,배,"급성 A형 간염(Acute hepatitis A)은(는) 소화기내과에서 주로 진료하며, 증상은 열,식욕부진,황달,권태감,설사,진한 소변색,감기 증상,복부 통증,오심,구토이(가) 있다. 관련된 질환으로는 급성 바이러스성 간염,급성 B형 간염,급성 C형 간염이(가) 있으며, 같은 이름으로는 a형간염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 B형 간염(Acute hepatitis B),"소화기내과,간이식ㆍ간담도외과","피부소양감,열,오심,황달,근육통,구토,진한 소변색,권태감,설사","만성 B형 간염,간세포성 암종,간염",동의어가 없다',배,"급성 B형 간염(Acute hepatitis B)은(는) 소화기내과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 피부소양감,열,오심,황달,근육통,구토,진한 소변색,권태감,설사이(가) 있다. 관련된 질환으로는 만성 B형 간염,간세포성 암종,간염이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 C형 간염(Acute hepatitis C),"소아소화기영양과,소화기내과,간이식ㆍ간담도외과","열감,황달,근육통,콧물,피부소양감,복부 불편감,진한 소변색,식욕부진,피로감","간세포성 암종,간염,만성 C형 간염",동의어가 없다',배,"급성 C형 간염(Acute hepatitis C)은(는) 소아소화기영양과,소화기내과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 열감,황달,근육통,콧물,피부소양감,복부 불편감,진한 소변색,식욕부진,피로감이(가) 있다. 관련된 질환으로는 간세포성 암종,간염,만성 C형 간염이(가) 있으며, 같은 이름으로는 동의어가 없다'과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 간질성 신염(Acute tubulo-interstitial nephritis),신장내과,"열,고혈압,혈뇨,단백뇨,요통,관절통,발진","신부전,만성 신부전,급성 신부전,사구체신염,고혈압",세뇨관 간질성 신염,배,"급성 간질성 신염(Acute tubulo-interstitial nephritis)은(는) 신장내과에서 주로 진료하며, 증상은 열,고혈압,혈뇨,단백뇨,요통,관절통,발진이(가) 있다. 관련된 질환으로는 신부전,만성 신부전,급성 신부전,사구체신염,고혈압이(가) 있으며, 같은 이름으로는 세뇨관 간질성 신염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 담낭염(Acute cholecystitis),"간이식ㆍ간담도외과,간담도췌외과,소화기내과","오심,열,복부 통증,구토","만성 담낭염,담석,담낭암",급성 쓸개염,배,"급성 담낭염(Acute cholecystitis)은(는) 간이식ㆍ간담도외과,간담도췌외과,소화기내과에서 주로 진료하며, 증상은 오심,열,복부 통증,구토이(가) 있다. 관련된 질환으로는 만성 담낭염,담석,담낭암이(가) 있으며, 같은 이름으로는 급성 쓸개염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 바이러스성 간염(Acute viral hepatitis),"소화기내과,간담도췌외과,간이식ㆍ간담도외과","피부 긴장도 저하,오심,복부 통증,황달,관절통,피로감,피부소양감,구토,식욕부진,권태감,근육통,감기 증상","전격성 간염,급성 A형 간염,자가면역성 간염,만성 B형 간염,간염,독성 간염,급성 B형 간염,급성 C형 간염,만성 C형 간염","Viral Hepatitis,바이러스 간염,바이러스성 간염",배,"급성 바이러스성 간염(Acute viral hepatitis)은(는) 소화기내과,간담도췌외과,간이식ㆍ간담도외과에서 주로 진료하며, 증상은 피부 긴장도 저하,오심,복부 통증,황달,관절통,피로감,피부소양감,구토,식욕부진,권태감,근육통,감기 증상이(가) 있다. 관련된 질환으로는 전격성 간염,급성 A형 간염,자가면역성 간염,만성 B형 간염,간염,독성 간염,급성 B형 간염,급성 C형 간염,만성 C형 간염이(가) 있으며, 같은 이름으로는 Viral Hepatitis,바이러스 간염,바이러스성 간염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 신부전(Acute renal failure),"신ㆍ췌장이식외과,신장내과","오심,구토,쇼크,전신 부종,산혈증,무뇨,저혈량 쇼크,소변량 감소,경련,탈수","신세포암종,요로결석,급성 간질성 신염,선천성 심장 질환,전격성 간염,신우요관암의 전이,신우요관암,고혈압,만성 신부전,사구체신염,신부전,말기 신질환,대동맥 협착,처그 스트라우스 증후군","급성신부전증,급성신장기능상실증,급성콩팥기능상실증",배,"급성 신부전(Acute renal failure)은(는) 신ㆍ췌장이식외과,신장내과에서 주로 진료하며, 증상은 오심,구토,쇼크,전신 부종,산혈증,무뇨,저혈량 쇼크,소변량 감소,경련,탈수이(가) 있다. 관련된 질환으로는 신세포암종,요로결석,급성 간질성 신염,선천성 심장 질환,전격성 간염,신우요관암의 전이,신우요관암,고혈압,만성 신부전,사구체신염,신부전,말기 신질환,대동맥 협착,처그 스트라우스 증후군이(가) 있으며, 같은 이름으로는 급성신부전증,급성신장기능상실증,급성콩팥기능상실증과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
급성 신우신염(Acute pyelonephritis),"신장내과,소아신장과,감염내과","오한,근육통,잔뇨감,두통,구토,배뇨 시 통증,빈뇨,요통,열,오심,배뇨곤란","방광요관 역류,신우요관 폐색,비임균성 요도염,임균성 요도염,대장균 감염,급성 방광염,신우요관암,요관 협착","신우신염,신우염",배,"급성 신우신염(Acute pyelonephritis)은(는) 신장내과,소아신장과,감염내과에서 주로 진료하며, 증상은 오한,근육통,잔뇨감,두통,구토,배뇨 시 통증,빈뇨,요통,열,오심,배뇨곤란이(가) 있다. 관련된 질환으로는 방광요관 역류,신우요관 폐색,비임균성 요도염,임균성 요도염,대장균 감염,급성 방광염,신우요관암,요관 협착이(가) 있으며, 같은 이름으로는 신우신염,신우염과(와) 같은 명칭이 존재하고, 배과(와) 관련 있는 질환이다."
